id	objects
89825	['car mirror', 'lakeside, lakeshore', "spider web, spider's web", 'solar dish, solar collector, solar furnace', 'spotlight, spot']
89442	['parachute, chute', 'volcano', 'balloon', 'airship, dirigible', 'lakeside, lakeshore']
80180	['breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'lakeside, lakeshore', 'dock, dockage, docking facility', 'airship, dirigible', 'boathouse', 'dam, dike, dyke']
70094	['geyser', 'fountain']
91154	['binder, ring-binder', 'kite', 'white stork, Ciconia ciconia', 'mosque', 'hook, claw', 'pool table, billiard table, snooker table', 'vulture', 'airship, dirigible', 'scabbard', 'magpie', 'nail', 'missile', 'bell cote, bell cot', 'envelope', 'crane', 'warplane, military plane', 'wing', 'bald eagle, American eagle, Haliaeetus leucocephalus']
87448	['suspension bridge', 'maypole', 'pole', 'bow', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
85356	['nematode, nematode worm, roundworm', 'tennis ball', 'digital clock', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'matchstick', 'bubble', 'lycaenid, lycaenid butterfly', 'jellyfish']
85186	['liner, ocean liner', 'container ship, containership, container vessel', 'suspension bridge', 'pier', 'pole', 'traffic light, traffic signal, stoplight', 'water tower', 'promontory, headland, head, foreland', 'reel', 'fireboat']
91071	['spotted salamander, Ambystoma maculatum', 'analog clock', 'European fire salamander, Salamandra salamandra', 'container ship, containership, container vessel', 'wreck', 'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui', 'damselfly', 'common newt, Triturus vulgaris', 'puck, hockey puck', 'drilling platform, offshore rig', 'tile roof', 'aircraft carrier, carrier, flattop, attack aircraft carrier', 'traffic light, traffic signal, stoplight', 'wall clock', 'jigsaw puzzle', 'flagpole, flagstaff', 'syringe', 'barometer', 'street sign', 'liner, ocean liner', 'streetcar, tram, tramcar, trolley, trolley car']
86148	['parachute, chute', 'balloon', 'spotlight, spot', 'golf ball', 'flagpole, flagstaff']
86149	['television, television system', 'traffic light, traffic signal, stoplight', 'pier', 'monitor', 'flagpole, flagstaff']
85024	['space shuttle', 'volcano', 'geyser', 'fountain', 'fireboat']
80227	['monitor', 'container ship, containership, container vessel', 'liner, ocean liner', 'dock, dockage, docking facility', 'traffic light, traffic signal, stoplight', 'wing', 'pole', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'seat belt, seatbelt', 'flagpole, flagstaff', 'screen, CRT screen', 'television, television system', 'church, church building', 'home theater, home theatre', 'crane', 'car mirror']
74233	['castle', 'boathouse', 'lakeside, lakeshore']
90223	['nematode, nematode worm, roundworm', 'spotlight, spot', 'torch', 'barn spider, Araneus cavaticus', 'grand piano, grand', 'matchstick', 'jellyfish']
85183	['minivan', 'dock, dockage, docking facility', 'airship, dirigible', 'traffic light, traffic signal, stoplight', 'pole', 'flagpole, flagstaff', 'cab, hack, taxi, taxicab', 'crane', 'pier', 'mobile home, manufactured home']
81994	['nematode, nematode worm, roundworm', 'airship, dirigible', 'beacon, lighthouse, beacon light, pharos', 'laptop, laptop computer', 'balloon', 'tennis ball', 'pole', 'golf ball', 'wing', 'parachute, chute', 'doormat, welcome mat', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'mobile home, manufactured home']
86140	['trolleybus, trolley coach, trackless trolley', 'traffic light, traffic signal, stoplight', 'streetcar, tram, tramcar, trolley, trolley car', 'pole', 'street sign']
70068	['bolo tie, bolo, bola tie, bola', 'face powder', 'Petri dish', 'wreck', 'dock, dockage, docking facility', 'lakeside, lakeshore', 'airliner', 'seashore, coast, seacoast, sea-coast', 'switch, electric switch, electrical switch', 'space shuttle', 'pole', 'park bench', 'sandbar, sand bar', 'crane', 'gong, tam-tam', 'wing']
79817	['pole', 'flagpole, flagstaff', 'traffic light, traffic signal, stoplight', 'bow']
86144	['steel arch bridge', 'traffic light, traffic signal, stoplight', 'suspension bridge', 'pole', 'bow']
88699	['beacon, lighthouse, beacon light, pharos', 'monastery', 'water tower', 'castle', 'church, church building', 'crane', 'barn']
79611	['cliff, drop, drop-off', 'geyser', 'beacon, lighthouse, beacon light, pharos', 'balloon', 'scoreboard', 'airship, dirigible', 'street sign', 'parachute, chute', 'moving van', 'fountain', 'warplane, military plane', 'valley, vale', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'alp']
90890	[]
79343	['warplane, military plane', 'kite', 'airship, dirigible', 'steam locomotive', 'parachute, chute', 'freight car', 'flagpole, flagstaff', 'passenger car, coach, carriage', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'mobile home, manufactured home']
80298	['castle', 'bell cote, bell cot', 'airship, dirigible', 'palace', 'lakeside, lakeshore']
81050	['window shade', 'cinema, movie theater, movie theatre, movie house, picture palace', 'hook, claw', 'tile roof', 'traffic light, traffic signal, stoplight', 'wall clock', 'vault', 'coil, spiral, volute, whorl, helix', 'lampshade, lamp shade', 'panpipe, pandean pipe, syrinx', 'matchstick']
79591	['wing', 'car mirror']
90564	['kite', 'white stork, Ciconia ciconia', 'vulture', 'airship, dirigible', 'magpie', 'house finch, linnet, Carpodacus mexicanus', 'bee eater', 'bald eagle, American eagle, Haliaeetus leucocephalus']
90541	['palace', 'altar', 'stupa, tope', 'monastery', 'castle', 'church, church building']
