filename	objects
88518_submitter_file4__IMG20171201092548.jpg	['swab, swob, mop', 'traffic light, traffic signal, stoplight', 'flagpole, flagstaff', 'fountain', 'spotlight, spot']
89024_submitter_file3__20171222173748.jpg	['space shuttle', 'balloon', 'drilling platform, offshore rig', 'airship, dirigible', 'missile']
82950_submitter_file2__IMG20170403080528.jpg	['parachute, chute', 'warplane, military plane', 'geyser', 'kite', 'airship, dirigible']
89916_submitter_file1__20180130230613.jpg	['traffic light, traffic signal, stoplight', 'television, television system', 'nematode, nematode worm, roundworm', 'monitor', 'spotlight, spot']
82871_submitter_file2__20170328183545.jpg	['parachute, chute', 'vulture', 'kite', 'white stork, Ciconia ciconia', 'bald eagle, American eagle, Haliaeetus leucocephalus']
83655_submitter_file1__MGL6725.jpg	['hay', 'geyser', 'church, church building', 'rapeseed', 'barn']
81581_submitter_file3__image.png	['home theater, home theatre', 'planetarium', 'television, television system', 'bubble', 'spotlight, spot']
80734_submitter_file6__20161129185022.jpg	['binder, ring-binder', 'television, television system', 'window screen', 'caldron, cauldron', 'loudspeaker, speaker, speaker unit, loudspeaker system, speaker system']
87925_submitter_file2__20171110144535.jpg	['shopping cart', 'traffic light, traffic signal, stoplight', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'chainlink fence', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty']
74559_submitter_file1__SDC10927.JPG	[]
81375_submitter_file2__1UFO2.jpg	['screen, CRT screen', 'traffic light, traffic signal, stoplight', 'fountain', 'web site, website, internet site, site', 'spotlight, spot']
83931_submitter_file1__1.LongUFOInTheDistanceOriginal.jpg	['cliff dwelling', 'valley, vale', 'cliff, drop, drop-off', 'freight car', 'thatch, thatched roof']
88111_submitter_file3__PurplelightoverunknownsouthsideofNorthernBlvd.location.jpg	['guillotine', 'pole', 'bannister, banister, balustrade, balusters, handrail']
79544_submitter_file7__ufoII.jpg	['parachute, chute', 'rugby ball', 'vulture', 'airship, dirigible', 'kite']
83010_submitter_file2__IMG0283.PNG	['web site, website, internet site, site']
83805_submitter_file1__ufo.png	['spatula', 'joystick', 'frying pan, frypan, skillet', 'remote control, remote', 'wok']
79003_submitter_file1__IMG0711.JPG	['missile', 'barn', 'mobile home, manufactured home', 'airship, dirigible', 'flagpole, flagstaff']
83956_submitter_file4__4.RectangularUFOWithStrangeContrailsCapturedAgainwsEnlarged2.jpg	['airliner', 'warplane, military plane', 'projectile, missile', 'wing', 'missile']
87907_submitter_file1__Screenshot20171110002828.png	['nematode, nematode worm, roundworm']
80773_submitter_file4__CZGif2.gif	['volcano', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'wing', 'beacon, lighthouse, beacon light, pharos']
90184_submitter_file5__20180202003121.jpg	['liner, ocean liner', 'traffic light, traffic signal, stoplight', 'scoreboard', 'container ship, containership, container vessel']
86371_submitter_file4__IMG6609.PNG	['volcano', 'radio telescope, radio reflector', 'valley, vale', 'wing', 'beacon, lighthouse, beacon light, pharos']
90925_submitter_file4__SAM2907.JPG	['binder, ring-binder', 'velvet', 'matchstick', 'nematode, nematode worm, roundworm', 'ladle']
87812_submitter_file4__IMG3920.JPG	['fire engine, fire truck', 'limousine, limo', 'traffic light, traffic signal, stoplight', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'snowplow, snowplough']
81426_submitter_file4__Livelyconversionshowingobjectpathneedtorotate90degreesright.gif	['binder, ring-binder', 'abaya', 'stage', 'cloak', 'book jacket, dust cover, dust jacket, dust wrapper']
86170_submitter_file7__IMG9919.jpg	['parachute, chute', 'aircraft carrier, carrier, flattop, attack aircraft carrier', 'balloon', 'drilling platform, offshore rig', 'airship, dirigible']
75133_submitter_file2__UAPagain12Dec2013TorontoCanadaAdaraworld.1011382copycopy.JPG	[]
87183_submitter_file1__DSC0163cropped.JPG	['hay', 'lakeside, lakeshore', 'cliff, drop, drop-off', 'volcano', 'promontory, headland, head, foreland']
89956_submitter_file1__20180131053145.jpg	['nematode, nematode worm, roundworm', 'traffic light, traffic signal, stoplight', 'torch', "jack-o'-lantern", 'spotlight, spot']
87167_submitter_file4__imageenhanced.png	['ant, emmet, pismire', 'puck, hockey puck', 'tick', 'black widow, Latrodectus mactans']
87634_submitter_file4__IMG9463.JPG	['flagpole, flagstaff', 'warplane, military plane', 'airliner', 'wing', 'airship, dirigible']
85919_submitter_file1__20170812061445.jpg	['megalith, megalithic structure', 'radio telescope, radio reflector', 'beacon, lighthouse, beacon light, pharos', 'balloon', 'barn']
82824_submitter_file1__DSC06560.JPG	['park bench', 'dogsled, dog sled, dog sleigh', 'mountain tent', 'snowmobile', 'lakeside, lakeshore']
90290_submitter_file4__IMG1882.jpg	['ping-pong ball', 'pool table, billiard table, snooker table', 'leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'tennis ball']
78812_submitter_file3__image.jpeg	["jack-o'-lantern", 'matchstick', 'nematode, nematode worm, roundworm', 'jellyfish']
83249_submitter_file3__3.TwoFlyingSaucersStuckTogetherEnlarged.jpg	['jellyfish']
85169_submitter_file5__IMG3254.JPG	['binder, ring-binder', 'hair slide', 'envelope', 'wool, woolen, woollen', 'shower curtain']
82430_submitter_file3__UFO2.jpg	['balloon', 'seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore']
81625_submitter_file1__20170119004018.jpg	['traffic light, traffic signal, stoplight']
80466_submitter_file2__IMG20161115080704.jpg	['sandbar, sand bar', 'seashore, coast, seacoast, sea-coast', 'wreck']
83249_submitter_file5__5.TwoFlyingSaucersStuckTogetherHighlyEnlarged.jpg	['bubble', 'nematode, nematode worm, roundworm', 'jellyfish']
80557_submitter_file1__IMG3714.JPG	['television, television system', 'jellyfish', 'monitor', 'stage', 'spotlight, spot']
90889_submitter_file5__20180315063958LowerRightCorner.jpg	['coffee mug', 'consomme', 'perfume, essence', 'vase', 'pitcher, ewer']
90557_submitter_file1__20180304125753HDR.jpg	['crane', 'flagpole, flagstaff', 'pole', 'swing']
83387_submitter_file5__5.FourWhiteCigarUFOsFurtherEnlarged.jpg	['projectile, missile', 'missile', 'ballpoint, ballpoint pen, ballpen, Biro', 'drumstick', 'fountain pen']
90833_submitter_file2__Screenshot20180317210305.jpg	['park bench', 'traffic light, traffic signal, stoplight', 'church, church building', 'car mirror', 'lakeside, lakeshore']
83055_submitter_file5__IMG0130.JPG	['projectile, missile', 'warplane, military plane', 'airliner', 'wing', 'missile']
83956_submitter_file3__3.RectangularUFOWithStrangeContrailsCapturedAgainwEnlarged.jpg	['warplane, military plane', 'airliner', 'wing']
85941_submitter_file3__IMG0332.JPG	['stingray', 'traffic light, traffic signal, stoplight', 'scuba diver', 'car mirror', 'wing']
80008_submitter_file1__93016TurnerMaine1stphoto.jpg	['parachute, chute', 'space shuttle', 'crane', 'scoreboard', 'airship, dirigible']
80518_submitter_file2__IMG1056.JPG	['space shuttle', 'planetarium', 'dome', 'airship, dirigible']
79067_submitter_file1__IMG20160910200108.jpg	['volcano', 'geyser', 'cliff, drop, drop-off', 'alp', 'missile']
83388_submitter_file7__7.LuminousLightDiscPhotograph3HighlyEnlarged.jpg	['ping-pong ball', 'nematode, nematode worm, roundworm', 'Petri dish']
88585_submitter_file2__DSC3351.JPG	['yurt', 'guillotine', 'mosquito net', 'grand piano, grand']
79175_submitter_file4__IMG4612.JPG	['canoe', 'boathouse', 'dock, dockage, docking facility', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'lakeside, lakeshore']
81960_submitter_file2__ISSHDLive20170207050735.jpg	['space shuttle', 'aircraft carrier, carrier, flattop, attack aircraft carrier', 'radio telescope, radio reflector', 'solar dish, solar collector, solar furnace', 'planetarium']
71941_submitter_file1__MFDC0150.JPG	['bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'gazelle']
82179_submitter_file3__IMG0564.PNG	['nematode, nematode worm, roundworm', 'jellyfish']
89957_submitter_file7__20180131054907.jpg	['traffic light, traffic signal, stoplight', 'nematode, nematode worm, roundworm', 'spotlight, spot']
84145_submitter_file2__0528171441.jpg	['balloon', 'crane', 'flagpole, flagstaff', 'wing', 'spotlight, spot']
83395_submitter_file2__2.FlyingSaucerWithContrail2Enlarged.jpg	['syringe', 'screw', 'nematode, nematode worm, roundworm', 'projectile, missile', 'spotlight, spot']
